mname,mnameng,mno,mdate,mnation,mtype,mgen,mstat,mdir,
멋진 하루,My Dear Enemy,20081002,2008,한국,장편,드라마(1),개봉,이윤기,4
박열,Anarchist from the colony,20178982,2017,한국,장편,드라마,개봉,이준익,4
죄 많은 소녀,After My Death,20173734,2017,한국,장편,드라마(1),개봉,김의석,4
보헤미안 랩소디,Bohemian Rhapsody,20185485,2018,미국,장편,드라마,개봉,브라이언 싱어,4
협상,THE NEGOTIATION,20177308,2018,한국,장편,범죄,개봉,이종석,4
박화영,Park Hwa-young,20171681,2018,한국,장편,드라마,개봉,이환,4
퍼스트맨,First Man,20186321,2018,미국,장편,SF(1),개봉,데이미언 셔젤,4
살아남은 아이,Last Child,20173732,2017,한국,장편,드라마,개봉,신동석,4
암수살인,Dark Figure of Crime,20179189,2017,한국,장편,범죄(1),개봉,김태균,4
맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,20181942,2018,미국,장편,뮤지컬,개봉,올 파커,4
너의 결혼식,On Your Wedding Day,20153446,2017,한국,장편,멜로/로맨스,개봉,이석근,4
마녀,The Witch : Part 1. The Subversion,20185341,2018,한국,장편,미스터리(1),개봉,박훈정,4
신과함께-인과 연,Along with the Gods: The Last 49 Days,20186202,2017,한국,장편,판타지(1),개봉,김용화,4
어메이징 메리,Gifted,20173092,2017,미국,장편,드라마,개봉,마크 웹,4
바르게 살자,Going By The Book,20070434,2007,한국,장편,코미디(1),개봉,라희찬,4
열정같은소리하고있네,YOU CALL IT PASSION,20156748,2015,한국,장편,드라마,개봉,정기훈,4
레미제라블: 25주년 특별 콘서트,Les Mis?rables in Concert: The 25th Anniversary,20139677,2010,영국,장편,뮤지컬,기타,닉 모리스,4
쥬라기 월드,Jurassic World,20098169,2015,미국,장편,액션(2),개봉,콜린 트레보로우,4
서유기 월광보합,,19950283,1994,홍콩,장편,코미디,개봉,유진위,4
어벤져스: 인피니티 워,Avengers: Infinity War,20177478,2018,미국,장편,액션(3),개봉,안소니 루소 ,4
가디언즈 오브 갤럭시 VOL. 2,Guardians of the Galaxy VOL. 2,20163603,2017,미국,장편,액션(1),개봉,제임스 건,4
1987,1987: When the Day Comes,20170590,2017,한국,장편,드라마,개봉,장준환,4
신과함께-죄와 벌,Along with the Gods: The Two Worlds,20150976,2017,한국,장편,판타지(1),개봉,김용화,4
겟 아웃,GET OUT,20175262,2017,미국,장편,공포(호러)(3),개봉,조던 필,4
남한산성,The Fortress,20165450,2017,한국,장편,사극(1),개봉,황동혁,4
스파이더맨: 홈 커밍,Spider-Man: Homecoming,20167303,2017,미국,장편,액션(2),개봉,존 왓츠,4
혹성탈출: 종의 전쟁,WAR FOR THE PLANET OF THE APES,20179901,2017,미국,장편,액션(3),개봉,맷 리브스,4
플립,Flipped,20177501,2010,미국,장편,드라마(1),개봉,롭 라이너,4
옥자,Okja,20158485,2017,미국,장편,어드벤처(2),개봉,봉준호,4
싱글라이더,A Single Rider,20161723,2016,한국,장편,드라마,개봉,이주영,4
빽 투더 퓨쳐 2,Back To The Future 2,19900118,1989,미국,장편,SF(3),개봉,로버트 저메키스,4
23 아이덴티티,Split,20170241,2016,미국,장편,스릴러,개봉,M. 나이트 샤말란,4
라라랜드,LA LA LAND,20167904,2016,미국,장편,드라마(2),개봉,데이미언 셔젤,4
너의 이름은.,your name.,20161872,2016,일본,장편,애니메이션(2),개봉,신카이 마코토,4
그물,THE NET,20167867,2016,한국,장편,드라마,개봉,김기덕,4
럭키,LUCK-KEY,20153444,2015,한국,장편,코미디,개봉,이계벽,4
자유의 언덕,Hill of Freedom,20148840,2013,한국,장편,드라마,개봉,홍상수,4
2009로스트메모리즈,2009 Lost Memories,20020063,2002,한국,장편,SF(2),개봉,이시명,4
고질라,Godzilla,19980153,1998,미국,장편,SF(1),개봉,롤랜드 에머리히,4
쿨 러닝,Cool Runnings,19940097,1993,미국,장편,드라마(2),개봉,존 터틀타웁,4
가타카,Gattaca,19980126,1997,미국,장편,SF(3),개봉,앤드류 니콜,4
버드맨,Birdman or The Unexpected Virtue of Ignorance,20144801,2014,미국,장편,코미디(1),개봉,알레한드로 곤잘레스 이냐,4
시카리오: 암살자의 도시,Sicario,20155423,2015,미국,장편,범죄(2),개봉,드니 빌뇌브,4
밀정,The Age of Shadows,20159646,2016,한국(1),장편,액션,개봉,김지운,4
제이슨 본,Jason Bourne,20161907,2016,미국,장편,액션(1),개봉,폴 그린그래스,4
니모를 찾아서,Finding Nemo,20030072,2003,미국,장편,애니메이션(3),개봉,앤드류 스탠튼,4
성실한 나라의 앨리스,Alice In Earnestland,20156281,2014,한국,장편,드라마,개봉,안국진,4
대니쉬 걸,The Danish Girl,20155020,2015,미국(1),장편,드라마,개봉,톰 후퍼,4
사도,The Throne,20148846,2014,한국,장편,사극,개봉,이준익,4
아가씨,The Handmaiden,20144444,2016,한국,장편,스릴러(1),개봉,박찬욱,4
스토커,Stoker,20120467,2013,미국,장편,드라마(1),개봉,박찬욱,4
셔터 아일랜드,Shutter Island,20100103,2009,미국,장편,드라마(2),개봉,마틴 스코세이지,4
앤트맨,Ant-Man,20155702,2015,미국(1),장편,액션(1),개봉,페이튼 리드,4
